label,seed,risk_mean,risk_relief,probe_rate,response_prob,response_delay_s,post_trigger_probe,workload,episode_length,retrieval_rate,probe_time_share,veh_time_share,total_steps,n_veh_onsets,n_lm_onsets,reached_goal,wall_s
ACTR_RISK_CANE_GUIDANCE_RELIEF|down,20260709,0.10956,0.08297,9.12154,0.50000,0.30606,0.00000,2.88161,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,2999.9
ACTR_RISK_LANDMARK_RELIEF|up,20260705,0.11982,0.10930,7.58950,0.23077,0.06327,0.22222,3.06631,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,2998.4
ACTR_RISK_LANDMARK_RELIEF|up,20260706,0.11780,0.11628,9.56624,0.38462,0.51000,0.05000,3.03216,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,3001.4
ACTR_RISK_LANDMARK_RELIEF|up,20260707,0.11425,0.08173,7.56524,0.40000,1.02985,0.17391,3.00017,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,3000.1
ACTR_RISK_LANDMARK_RELIEF|up,20260708,0.11799,0.10719,7.85143,0.22222,0.00000,0.08696,3.00614,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,3710.1
ACTR_RISK_LANDMARK_RELIEF|up,20260709,0.10946,0.08515,9.12154,0.50000,0.30606,0.00000,2.88150,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,3709.9
ACTR_RISK_LANDMARK_RELIEF|down,20260705,0.11989,0.10485,7.58950,0.23077,0.06327,0.22222,3.06631,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,865.1
ACTR_RISK_LANDMARK_RELIEF|down,20260706,0.11791,0.11062,9.56624,0.38462,0.51000,0.05000,3.03239,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,866.3
ACTR_RISK_LANDMARK_RELIEF|down,20260707,0.11436,0.07686,7.56524,0.40000,1.02985,0.17391,3.00026,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,864.5
ACTR_RISK_LANDMARK_RELIEF|down,20260708,0.11810,0.10197,7.85143,0.22222,0.00000,0.08696,3.00614,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,866.3
ACTR_RISK_LANDMARK_RELIEF|down,20260709,0.10955,0.08079,9.12154,0.50000,0.30606,0.00000,2.88150,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,867.8
PROBE_RELIEF_RATIO|up,20260705,0.12150,0.10416,8.22016,0.25000,1.32653,0.27778,3.08280,11.51205,1.42180,0.04089,0.01716,4197,12,18,True,867.5
PROBE_RELIEF_RATIO|up,20260706,0.10762,0.05448,6.74803,0.08333,0.00000,0.00000,2.89478,9.47514,1.62602,0.03445,0.01699,4179,12,27,True,867.9
PROBE_RELIEF_RATIO|up,20260707,0.12234,0.05958,8.63143,0.36364,0.00000,0.14286,3.11716,10.98864,1.35417,0.04481,0.01477,4333,11,14,True,870.9
PROBE_RELIEF_RATIO|up,20260708,0.11265,0.07986,8.18354,0.28571,0.00000,0.10714,2.91116,10.89412,1.69154,0.04168,0.01987,4228,14,28,True,160.9
PROBE_RELIEF_RATIO|up,20260709,0.11046,0.08785,8.37131,0.33333,0.77677,0.08000,2.87598,10.22599,2.04708,0.04251,0.01295,4169,9,25,True,159.9
