label,seed,veh_share,veh_iw_mean,veh_stop_rate,veh_reaction_prob,veh_reaction_delay_s,lm_share,lm_iw_mean,lm_stop_rate,lm_relief_effect,lm_stop_after_rate,tac_share,tac_iw_mean,tac_stop_rate,tac_risk_mean,noref_share,noref_iw_mean,noref_stop_rate,noref_ep_len,noref_retrieval_per100,cross_share,cross_iw_mean,cross_stop_rate,cross_wait_s
LANDMARK_DECAY_RATE|0.656,20260708,0.01222,7.92045,21.15385,0.22222,0.00000,0.02163,2.16124,2.17391,0.10417,0.08696,0.52468,1.96308,1.65771,0.03415,0.23883,2.15223,6.69291,11.43195,1.87008,0.22567,6.19478,23.75000,228.46790
LANDMARK_DECAY_RATE|0.984,20260705,0.02011,3.85692,2.29885,0.06667,0.00000,0.02219,2.22437,0.00000,0.08357,0.00000,0.53779,1.94003,1.03137,0.03451,0.21331,2.85631,7.69231,11.39881,0.97508,0.23920,5.94725,23.47826,260.06330
LANDMARK_DECAY_RATE|0.984,20260706,0.01647,5.82477,10.14493,0.33333,0.54490,0.02100,2.10178,3.40909,0.06530,0.13636,0.53962,1.93479,1.10571,0.03489,0.24749,3.02922,8.19672,10.66667,2.02507,0.20310,5.25409,28.08461,194.36130
LANDMARK_DECAY_RATE|0.984,20260708,0.00709,3.71379,16.66667,0.20000,0.18980,0.02362,2.19433,2.00000,0.09101,0.08000,0.53897,1.93037,1.13935,0.03502,0.22296,2.75085,6.99153,10.15761,1.48305,0.22721,5.64164,27.02703,211.84720
LANDMARK_DECAY_RATE|0.984,20260707,0.00421,nan,nan,0.66667,0.61990,0.02056,2.12570,1.13636,0.12228,0.04545,0.52593,1.93534,0.97734,0.03455,0.23972,3.11114,9.16179,11.38953,1.85185,0.22500,5.96864,25.85670,226.51060
LANDMARK_DECAY_RATE|0.984,20260709,0.01667,4.67219,13.88889,0.25000,0.12653,0.01667,2.14039,0.00000,0.07944,0.00000,0.54573,1.93152,1.10310,0.03392,0.20352,2.55205,6.25711,10.40437,1.02389,0.24381,6.32829,22.50712,266.37720
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.32,20260705,0.01837,4.97250,20.51282,0.23077,0.06327,0.01696,2.15488,4.16667,0.11780,0.16667,0.53815,1.94730,1.00656,0.03235,0.22845,2.52699,8.86598,10.81714,0.92784,0.22233,6.47542,24.15254,225.09490
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.32,20260706,0.01829,4.30722,24.35897,0.38462,0.51000,0.01876,2.29466,1.25000,0.11342,0.05000,0.53927,1.96557,0.82609,0.03260,0.23142,2.84747,10.23303,10.58101,1.21581,0.21899,5.91597,30.83512,199.66360
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.32,20260707,0.01392,5.83065,26.66667,0.50000,0.92184,0.02135,2.15272,3.26087,0.08635,0.13043,0.52541,1.95777,0.92756,0.03301,0.22882,2.79655,9.53347,11.42353,1.62272,0.23370,6.17350,23.13803,248.17550
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.32,20260708,0.01222,7.91637,21.15385,0.22222,0.00000,0.02163,2.16124,2.17391,0.10458,0.08696,0.52468,1.95697,1.65771,0.03467,0.23883,2.31310,6.69291,11.43195,1.87008,0.22567,6.23858,23.75000,228.46790
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.32,20260709,0.01570,3.28000,30.30303,0.36364,0.38258,0.02093,2.16745,0.00000,0.05356,0.00000,0.57303,1.95809,1.24533,0.03325,0.20932,2.33420,7.84091,9.71910,1.59091,0.21075,6.15368,28.55530,200.34610
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.48,20260705,0.01862,5.58788,15.38462,0.23077,0.06327,0.01718,2.24520,5.55556,0.10708,0.22222,0.52578,1.94915,1.72492,0.03553,0.24582,2.56706,7.66990,11.05780,2.13592,0.21862,6.36972,21.83406,209.34700
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|0.48,20260706,0.01594,4.55972,35.29412,0.50000,0.35000,0.01969,2.23719,0.00000,0.08415,0.00000,0.53610,1.96380,0.83078,0.03205,0.23980,2.76807,10.16618,11.22674,1.17302,0.21871,6.33816,28.40300,211.10310
